annotator,base_question,type1,type2,type3
soham,Which quantity has direction as well as magnitude?,"What attribute, inherent to the displacement between two points in space traversed by the individual holding the record for the fastest human running speed, and potentially measurable using a device similar in principle to the Richter scale, is also characterized by its intrinsic magnitude or scale?","When considering physical phenomena involving motion, what characteristic, analogous to a traveler's detailed itinerary, comprehensively describes not only the magnitude or extent of the change in position, but also the directional pathway, a property distinct from scalar measurements such as temperature or mass, and is this characteristic more closely associated with displacement than with speed?","Imagine a scenario within the context of physical phenomena observed using terrestrial navigation systems developed in the early 20th century, where a cartographer meticulously describes the properties of a line segment representing a displacement across the vast plains of a nation renowned for its technological advancements. What attribute, beyond the mere extent or magnitude of this displacement, must the cartographer specify to fully and unambiguously characterize this displacement, keeping in mind that the cartographer's sibling, a physicist, consistently emphasizes the crucial role of this attribute in calculations related to motion? Furthermore, the cartographer mistakenly operates under the assumption that only scalar quantities are relevant in calculations of energy."
soham,Who wrote the novel Gentlemen Prefer Blondes?,"Who authored the widely read novel concerning the experiences of a blonde woman, a work that subsequently served as the inspiration for a renowned musical production, and whose author is also related, through her granddaughter, to the creator of a highly popular series of books chronicling the life of a young wizard?","Within the vibrant cultural landscape of the Jazz Age, which author, whose creative spark is said to have been ignited by anecdotes circulating within the opulent settings of Manhattan's grand hotels, wrote the satirical narrative focusing on the exploits of two captivating women known for their pursuit of wealth and advantageous marriages, a work frequently misattributed to the cousin of Anita Loos or a contemporary writer such as Elinor Glyn?","During the intellectually and artistically fertile period of the Roaring Twenties, characterized by the iconic flapper fashion and the infectious rhythms of jazz music, a certain comedic novel emerged, encapsulating the spirit of this dynamic era. The granddaughter of the author celebrated for a compilation of poems frequently recited at Vassar College, penned a narrative centered on the adventures of a blonde woman. This author, whose sibling was a distinguished academic specializing in ancient Greek literature, crafted a work that later achieved acclaim as a celebrated musical. Could you identify the individual responsible for writing this narrative, a story depicting the escapades of a protagonist with fair hair, often perceived as naive, as she navigates the intricate social dynamics of a world populated by immense fortunes, aristocratic titles, and transatlantic voyages, while acknowledging that her contemporary, Anita Loos, was also a significant literary figure of that time?"
soham,"Which national football team won gold medals at the 2012 Olympic Games, after beating Brazil 2-1?","Which national football squad, representing the nation renowned as the birthplace of both The Beatles and the Premier League, achieved victory at the international quadrennial multi-sport event held in the year 2012, triumphing over the nation celebrated for the Amazon rainforest and its vibrant samba music by a final score of two goals to one?","Consider, amidst the resounding cheers of enthusiastic spectators, the following scenario: After a hard-fought victory against the nation celebrated for its iconic samba style of play, which national football squad – composed of athletes representing a sovereign European state and participating in a quadrennial international multi-sport event hosted in the capital city of the United Kingdom during the summer of the year twelve years after the beginning of the third millennium – earned the most prestigious award, outperforming formidable teams such as Uruguay and Argentina, in the globally popular sport frequently associated with legendary figures like Pelé and Maradona?","In the quadrennial summer Olympic Games held in the United Kingdom, where the lingering memory of Danny Boyle's artistic opening ceremony still permeated the atmosphere, and amidst discussions surrounding the host nation's impressive achievements in cycling potentially foreshadowing success in football, which national squad, primarily composed of athletes under the age of 23, emerged victorious in the climactic final match against a South American opponent known for their distinctive yellow jerseys and captivating samba-infused style of play, securing the coveted gold medals with a score that gave them a one-goal advantage, despite pre-game analyses suggesting the South Americans were favored to win due to their recent performance in the Copa America tournament and Neymar's widely recognized exceptional form?"
soham,In which year was the Battle of Britain?,"In what year did the aerial campaign, widely regarded as a pivotal moment in the global conflict between the Allied powers and the regime headed by the mustachioed dictator of a major Axis nation, reach its most intense phase?","Within the context of escalating global tensions: In which numbered year of the Gregorian calendar did the aerial campaign known as ""Operation Sea Lion,"" a conflict involving the island nation then led by the father of the current reigning monarch, reach its peak, an event that transpired after the cinematic release of ""The Great Dictator"" but prior to the surprise attack on Pearl Harbor?","During the concluding years of the era characterized by the rapid advancement of mechanized warfare, preceding the widespread integration of digital computation, a significant aerial conflict took place. In what numbered year of the Gregorian calendar did the skies above the realm previously governed by a monarch who abdicated his throne for personal reasons, and a neighboring island separated by a narrow body of water, become the battleground for a decisive confrontation between the defenders of the realm and the air forces of a continental power then under the leadership of a mustachioed figure commonly associated with aggressive expansionist policies and the unsuccessful Munich Agreement of 1938, a battle that some historians erroneously place in either 1941 or 1939, and which occurred before the attack on Pearl Harbor?"
soham,The US television series ‘The Wire’ is set in which city?,"In which significant Mid-Atlantic port city, closely associated with the literary works of Edgar Allan Poe and renowned for its successful Inner Harbor revitalization project, does a highly acclaimed dramatic television program, frequently praised for its unflinching portrayal of urban decay and the multifaceted challenges faced by law enforcement agencies, unfold its intricate narrative, a program whose title subtly alludes to covert surveillance techniques?","Considering the historical context of ""Charm City's"" past, in relation to a critically acclaimed dramatic television series, in which specific locale does the interconnected narrative of various institutions primarily unfold, a series that some discerning viewers might draw comparisons to the groundbreaking police procedural ""Hill Street Blues""","Amidst the widespread acclaim surrounding a celebrated television drama, initially conceived in the early years of the new millennium and lauded for its gritty and realistic depiction of urban decay, a complex narrative unfolds, mirroring the struggles encountered by numerous post-industrial metropolises situated along the eastern seaboard of the United States. This critically acclaimed show, while achieving significant critical recognition, did not always attain widespread popularity in terms of viewership during its original broadcast run. The program focuses on the intricate and often adversarial relationship between law enforcement personnel and the diverse factions vying for power and control within a specific municipality. Disregarding the fictionalized account of New York City's police department in a similarly themed program that shares a vaguely alliterative title with a popular brand of adhesive tape, and excluding the West Coast setting of a certain medical drama featuring a character known for his unusual last name, in which major Mid-Atlantic port city, a place historically synonymous with shipbuilding industries and home to a football team named after a raven, does the aforementioned program, frequently cited for its authentic and insightful portrayal of complex societal issues, primarily take place, bearing in mind that it is not Philadelphia, the city of brotherly love, and its cinematic counterpart?"
soham,What was the profession of New Yorker Garry Winogrand?,"What professional vocation did the individual renowned for his candid street photography, which often encapsulated the vibrant essence of daily life in New York City, and who shares a given name with a celebrated chess grandmaster, pursue as his primary occupation?","Considering his well-documented affinity for capturing unscripted moments in urban environments, what specific field within the broader realm of visual artistry did the father of a certain Cole Winogrand dedicate his creative energies to, in contrast to contemporaries who specialized in studio portraiture or expansive landscape vistas, and was his artistic approach more closely aligned with the documentary style of a Henri Cartier-Bresson or the more psychologically charged imagery of a Diane Arbus?","During the era when photographic images were predominantly captured and processed in monochrome, and the artistic landscape of New York City witnessed the transition from abstract expressionism to the burgeoning pop art movement in the galleries lining 57th Street, what professional vocation did the individual, whose father worked within the city's garment district and whose photographic lens immortalized the bustling thoroughfares of the metropolis known as the city that never sleeps, pursue prior to his untimely passing in the sun-drenched landscapes of California, keeping in mind that he was not a painter despite his frequent attendance at art openings and his known association with Museum of Modern Art curator John Szarkowski, but rather, a chronicler of the ordinary and commonplace?"
soham,Which animal is known as the Ship of the Desert?,"What quadruped, commonly found in arid environments and historically indispensable for facilitating trans-Saharan trade, is colloquially referred to by a term typically associated with a large vessel navigating an expanse of water?","Considering its adaptation to arid habitats, what quadruped, frequently utilized as a beast of burden by nomadic cultures and categorized into either the dromedary or Bactrian species, is metaphorically designated by a term also used to describe vessels traversing maritime routes, alongside other desert-dwelling creatures such as the fennec fox and the oryx?","What ungulate, commonly associated with arid and semi-arid landscapes and historically vital for the complex network of trans-Saharan trade, is metaphorically referred to by a term typically used to describe a nautical vessel, particularly when considering the preferred mode of transportation employed by the descendants of Ishmael during their extended journeys across the vast expanses of sand dunes? Furthermore, is this creature better adapted to withstand the extreme heat of the Sahara Desert or the frigid temperatures of the Gobi Desert, while remembering that its distinctive humps, often mistakenly believed to store water, are actually reservoirs of fat, dispelling the unfounded notion that they contain precious gemstones?"
soham,What colour is the dragon on the national flag of Wales?,"What specific hue graces the mythical creature prominently displayed on the national banner representing Cymru, the region situated west of the historical earthwork known as Offa's Dyke?","Within the context of Arthurian legends and Welsh folklore, what particular hue does the serpentine creature, a powerful symbol deeply associated with the inhabitants of the land surrounding Snowdon, possess on their revered national banner, a color distinct from the verdant green found on the Irish tricolour, and is this hue more closely aligned with the shade commonly observed on fire engines or the vibrant color of ripe cherries?","During the era following the reign of the legendary Red Dragon, a time when the concept of Britannia was still largely aspirational and predating the introduction of the Euro currency, a vexillologist, related by blood to a prominent figure within the Royal Mint through a second cousin, meticulously documented all heraldic emblems pertaining to the various insular kingdoms. Setting aside the common artistic liberties taken during that historical period, and focusing exclusively on the official decree ratified by the governing body responsible for Cymru's cultural symbols at that specific point in time, what precise shade, as categorized according to the then-widely-used Ridgway's Colour Standards, would most accurately describe the color of the creature adorning the national banner that served to distinguish the land of song from its Anglo-Saxon neighbor, while acknowledging that depictions in woven tapestries frequently employed substitute dyes such as indigo?"
soham,The medical condition aphagia is the inability or refusal to do what?,"The medical condition known as aphagia, characterized by the absence of hunger, can be defined as the incapacity or unwillingness to perform which essential action related to the intake of nutrients, an action fundamentally linked to the primary function of the oral cavity?","Considering the ethical principles outlined in the Hippocratic Oath, what vital action, intrinsically connected to the ingestion of sustenance, might a patient be unable to perform, possibly due to a neurological disorder or severe inflammation within the alimentary canal, a condition distinct from, yet occasionally mistaken for, dysphagia, and which could necessitate intravenous nutritional support, a treatment modality not typically required in cases of anorexia?","During the era of Louis XVI, amidst the social and political turmoil surrounding the ""Affair of the Diamond Necklace"" and the growing proto-industrial unrest in the Parisian suburbs renowned for their exquisite pastries, a particular medical condition, frequently misdiagnosed as either aristocratic apathy or a trendy disinterest in gastronomy, posed a unique diagnostic challenge to the royal physicians. This ailment, sharing etymological roots with terms signifying the destruction of consumable items by combustion, manifested not as an inability to acquire food, nor as a lack of appetite prevalent among the aristocratic class, but rather as the complete incapacity or unwillingness to perform which fundamental physiological process, indispensable for the sustenance of life and the enjoyment of those aforementioned pastries?"
soham,The first passenger fare-paying railway service was established in which European country in 1807?,"In which European nation, geographically proximate to the birthplace of the Renaissance, did the world's first revenue-generating rail transport system commence operations in the year 1807, a development that predated the ascension of the monarch associated with the Victorian era by approximately three decades?","During the early stages of the Industrial Revolution, in which nation, separated from the island of Ireland by the Irish Sea and governed at that time by the House of Lords, did the pioneering, first-of-its-kind, profit-making rail transportation system for the general public begin operations in the early years of the 19th century, roughly contemporaneous with the Napoleonic Wars and preceding the reign of Queen Victoria by several decades – specifically, was it France, the German Confederation, or Great Britain?","In which nation, where the intellectual currents of the Enlightenment intersected with the burgeoning Industrial Revolution and a monarch of the House of Braganza still reigned over territories across the Atlantic Ocean, did the inaugural instance of a railway enterprise open its passenger carriages to paying travelers in the year immediately following the purported discovery of a new, potentially powerful element called Neptunium – an assertion that remains contested by scholars from a neighboring kingdom renowned for its horological expertise – thus marking the commencement of a new era in transportation, predating by ten years the widespread implementation of gas lighting in its capital city, notwithstanding certain historical accounts that situate the first such railway undertaking in a territory then ruled by a king who also held the title of elector within the Holy Roman Empire?"
