annotator,base_question,type1,type2,type3,answer
soham,Which quantity has direction as well as magnitude?,"Which attribute, possessed by the displacement between two points in the space navigated by the fastest man in history, and measurable by the device invented by the esteemed Mr. Richter, is also characterized by its inherent scale or size?
","Considering physical phenomena in motion, what characteristic, not unlike a traveler's itinerary, comprehensively describes not only the extent or size, but also the oriented pathway, unlike scalar measurements such as temperature or mass, and is it more akin to displacement than speed?
","Considering physical phenomena observed on terrestrial navigation systems developed in the early 20th century, and imagining a scenario where a cartographer describes the properties of a line representing a displacement across the plains of a nation known for its technological advancements, what attribute, in addition to its extent, must the cartographer specify to fully characterize this displacement, remembering that the cartographer's sibling, a physicist, always emphasizes its importance in calculations of motion? Also, the cartographer mistakenly believes that only scalar quantities are used in calculating energy.
","{'aliases': ['Vector quantity'], 'normalized_aliases': ['vector quantity'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'vector quantity', 'type': 'FreeForm', 'value': 'Vector quantity'}"
soham,Who wrote the novel Gentlemen Prefer Blondes?,"Who penned the literary work concerning the experiences of a blonde woman, which later inspired a famous musical, authored by the individual whose granddaughter also wrote a popular series about a young wizard?
","Amidst the glittering backdrop of the Jazz Age, which author, rumored to have been inspired by tales whispered in Manhattan's grand hotels, penned the satirical narrative concerning a duo of dazzling gold diggers, a work often mistaken for being authored by Anita Loos's cousin or a contemporary like Elinor Glyn?
","Amidst the literary circles of the Roaring Twenties, a time of flapper dresses and jazz music, a certain comedic novel emerged, capturing the zeitgeist of the era. The granddaughter of the author renowned for a collection of poems often recited at Vassar College, penned a tale of a blonde's adventures. This author, whose sibling was a noted academic specializing in ancient Greek literature, created a work that later became a celebrated musical. Can you name the individual responsible for crafting this narrative, a story showcasing the escapades of a fair-haired protagonist, often mistaken as a simpleton, navigating the complexities of a world filled with fortunes, titles, and transatlantic voyages, remembering that her contemporary, Anita Loos, was also a prominent figure in that era?
","{'aliases': ['Chéri (play)', 'Anita Loos', 'Cheri (play)'], 'normalized_aliases': ['cheri play', 'anita loos', 'chéri play'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'anita loos', 'type': 'WikipediaEntity', 'value': 'Anita Loos'}"
soham,"Which national football team won gold medals at the 2012 Olympic Games, after beating Brazil 2-1?","Which squad, representing the birthplace of the Beatles and the home of the Premier League, clinched victory at the quadrennial international multi-sport event held in the year of the Mayan apocalypse, besting the nation known for the Amazon and samba music with a score of two goals to one in the final match?
","Amidst the echoes of roaring crowds, consider this:

Following a victory over the nation known for its samba, which squad – comprised of individuals representing a sovereign European state and competing in a quadrennial international multi-sport event hosted in the capital of the United Kingdom during the summer of the year twelve years after the dawn of the new millennium – secured the highest accolade, surpassing teams like Uruguay and Argentina, in the sport often associated with Pele and Maradona?
","In the quadrennial summer games held in the United Kingdom, where the echoes of Danny Boyle's artistic spectacle still resonated, and amidst speculation that the host nation's cycling success foreshadowed football glory, which national squad, comprised of athletes predominantly under the age of 23, emerged victorious in the final match against a South American rival known for its vibrant yellow jerseys and samba flair, securing the coveted golden discs with a score that favored them by a single point, despite pre-game analyses suggesting the South Americans held a significant advantage due to their recent Copa America performance and Neymar's purported superior form?
","{'aliases': ['Mexican Republic', 'MEXICO', 'Estados Unidos de México', 'Sierra de la Estrella', 'Mexico (country)', 'Mexicó', 'The United Mexican States', 'Estados Unidos de Mexico', 'Central Mexico', 'ISO 3166-1:MX', 'Mexiko', 'Méjico', 'Mexique', 'Mexican United States', ""Mexican'"", 'The United State of Mexico', 'Mountains of Mexico', 'Old Mexico', 'United states of mexico', 'EUM', 'Messico', 'Mejico', 'The United States of Mexicans', 'Untied Mexican States', 'México', 'Etymology of Mexico', 'Meixcan', 'Estados Unidos Mexicanos', 'Mexic', 'Mexxico', 'Mexican Union', 'The United States of Mexico', 'United State of Mexico', 'Mexico', 'Republic of Mexico', 'Mexican Federal Republic', 'United Mexican States', 'Mexican coast', 'Mehico', 'United States of Mexicans', 'United States of Mexico'], 'normalized_aliases': ['mexican coast', 'united mexican states', 'mexican united states', 'mexxico', 'mexic', 'estados unidos de mexico', 'mexique', 'mountains of mexico', 'mehico', 'republic of mexico', 'mexican republic', 'sierra de la estrella', 'mexican', 'united states of mexico', 'central mexico', 'eum', 'estados unidos mexicanos', 'old mexico', 'etymology of mexico', 'iso 3166 1 mx', 'untied mexican states', 'messico', 'mexico country', 'mexiko', 'mexican union', 'meixcan', 'estados unidos de méxico', 'united states of mexicans', 'mexican federal republic', 'mejico', 'united state of mexico', 'méxico', 'mexico', 'mexicó', 'méjico'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'mexico', 'type': 'WikipediaEntity', 'value': 'Mexico'}"
soham,In which year was the Battle of Britain?,"In what annum did the aerial campaign, largely considered a crucial turning point in the conflict involving the Allied forces and the regime led by the mustachioed dictator of a major Axis power, reach its climax?
","Considering the historical context of escalating global tensions: During what annum did ""Operation Sea Lion's"" aerial campaign, a conflict involving the island nation led at the time by the father of the current King, reach its zenith, an event that occurred after the debut of ""The Great Dictator"" but before the attack on Pearl Harbor?
","During the twilight years of the era marked by the rise of mechanized warfare, before the widespread adoption of digital computation, a significant aerial conflict unfolded. In what numbered year of the Gregorian calendar did the skies above the realm once ruled by a monarch who abdicated for love, and a neighboring isle across the narrow sea, become the stage for a decisive clash between the defenders of the realm and the air forces of a continental power then led by a mustachioed figure often associated with aggressive expansionist policies and the failed Munich Agreement of 1938, a battle some historians incorrectly place in 1941 or 1939, and prior to the attack on Pearl Harbor?
","{'aliases': ['one thousand, nine hundred and forty', '1940'], 'normalized_aliases': ['1940', 'one thousand nine hundred and forty'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '1940', 'type': 'Numerical', 'value': '1940'}"
soham,The US television series ‘The Wire’ is set in which city?,"In which major Mid-Atlantic port city, often associated with Edgar Allan Poe and known for its Inner Harbor revitalization, does a critically acclaimed dramatic program, often cited for its realistic portrayal of urban decay and law enforcement challenges, unfold its narrative, a program whose title alludes to clandestine surveillance practices?
","Amidst the echoes of Charm City's past, concerning a critically acclaimed dramatic series, in which locale does the narrative of interconnected institutions primarily unfold, a series that some might compare to Hill Street Blues?
","Amidst the clamor surrounding a celebrated television drama, conceived in the early aughts and lauded for its gritty portrayal of urban decay, a narrative unfolds, mirroring the challenges faced by many post-industrial metropolises along the eastern seaboard. The show, a critical darling but not always a ratings juggernaut during its initial broadcast, focuses on the intricate dance between law enforcement and various factions vying for control within a specific municipality. Ignoring the fictionalized account of New York City's police force in a similarly themed program that shares a vaguely alliterative title with a popular brand of adhesive tape, and setting aside the West Coast locale of a certain medical drama featuring a character known for his House, in which major Mid-Atlantic port city, a place once synonymous with shipbuilding and a raven-themed football team, does the aforementioned program, often cited for its authentic depiction of societal issues, primarily take place, considering that it is not Philadelphia, the city of brotherly love, and its film namesake?
","{'aliases': ['Ballermore, Murdaland', 'Baltimore, Maryland, US', 'B.More', 'Bmore', 'City of Baltimore, Maryland', 'Baltimore (City)', 'Baseball in Baltimore', 'Ballamore, Murderland', 'Mobtown', 'Baltimore, US-MD', 'Baltimore md', 'Baltamore', 'Baltimore (Md.)', 'Ballermore, Murderland', 'B-More', 'Baltimore City', 'Ballamore', 'Baltimore, Md.', 'Baltimore, Maryland', 'Baltimore, Maryland, USA', 'Baltimore, Maryland, United States', 'Economy of Baltimore', 'Baltimore, MD', 'Charm City', 'Balitmore', 'Baltimore', 'Baltimore, United States', 'Baltimore, Md', 'Baltimore (MD)', 'Ballermore', 'Baltimore Department of Transportation', 'Transportation in Baltimore', 'Charm city', 'B. More', 'Baltimore City, MD', 'Ballamore, Murdaland', 'Baltimore, Maryland, United States of America', 'Department of Transportation (Baltimore)', 'Baltimore City, Maryland', 'City of Baltimore', 'Baltimore, USA', 'Baltimore City Department of Transportation', 'B More', 'Baltimore DOT', ""B'More"", ""Baltimore City Sheriff's Office"", 'UN/LOCODE:USBAL', 'Baltimoreans', 'Baltimore, MD, United States'], 'normalized_aliases': ['baltamore', 'baltimore maryland usa', 'baltimore maryland united states', 'transportation in baltimore', 'bmore', 'department of transportation baltimore', 'city of baltimore maryland', 'ballermore murderland', 'balitmore', 'baltimore city maryland', 'baltimore dot', 'b more', 'charm city', 'baltimore united states', 'baltimore maryland united states of america', 'baltimore city', 'un locode usbal', 'ballamore murderland', 'mobtown', 'baltimore city md', 'baltimore maryland', 'baltimore city sheriff s office', 'baltimore usa', 'baltimore city department of transportation', 'baseball in baltimore', 'economy of baltimore', 'baltimore maryland us', 'baltimore', 'ballamore', 'city of baltimore', 'baltimore md united states', 'baltimoreans', 'baltimore md', 'ballermore murdaland', 'ballamore murdaland', 'baltimore department of transportation', 'baltimore us md', 'ballermore'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'baltimore', 'type': 'WikipediaEntity', 'value': 'Baltimore'}"
soham,What was the profession of New Yorker Garry Winogrand?,"What vocation was pursued by the individual known for his street photography, whose work often captured the essence of life in the Big Apple, and who shares a first name with a famous chess grandmaster?
","Given his documented passion for street scenes, what field of visual artistry did the father of a certain Cole Winogrand pursue, unlike contemporaries who focused on studio portraiture or landscape vistas, and was it more akin to the endeavors of a Cartier-Bresson or a Diane Arbus?
","During the epoch when cameras captured life's fleeting moments in monochrome, and abstract expressionism gave way to pop art in the galleries lining 57th Street, what vocation did the man, whose father toiled in the garment district and whose lens immortalized the bustling thoroughfares of the city that never sleeps, pursue before his untimely demise in the sun-drenched landscapes of California, bearing in mind he was not a painter despite his frequenting of art openings and his known association with MoMA curator John Szarkowski, but rather, a chronicler of the everyday?
","{'aliases': ['Photographist', 'Photographer', 'Freelance photographer', 'Freelance Photography', 'Photographr'], 'normalized_aliases': ['photographr', 'photographist', 'freelance photographer', 'photographer', 'freelance photography'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'photographer', 'type': 'WikipediaEntity', 'value': 'Photographer'}"
soham,Which animal is known as the Ship of the Desert?,"What quadruped, often associated with arid landscapes and historically crucial for trans-Saharan commerce, shares its moniker with a nautical vessel traversing an ocean of sand?
","Bearing in mind its arid habitat, what quadruped, often employed as a beast of burden by nomadic peoples and sometimes referred to as a dromedary or Bactrian, shares a metaphorical designation with vessels traversing maritime routes, alongside other desert dwellers like the fennec fox and the oryx?
","What ungulate, often associated with arid landscapes and historically crucial for trans-Saharan trade, shares a moniker with a nautical vessel, particularly when considering the mode of transport favored by the descendants of Ishmael during their long treks across the dunes? Furthermore, is this creature more adapted to the heat of the Sahara or the chill of the Gobi, keeping in mind that its humps, mistakenly believed to store water, are actually reservoirs of fat, unlike the false claim that they contain precious gemstones?
","{'aliases': ['Camel urine', 'Bedouin camel', 'Heavy Camel', ""Camel's milk"", 'Tylopopod', 'Camel driver', 'The ship of the desert', 'Camel', 'Rakuda', 'Camelids, new world', 'Camelus', 'Camels', 'Ship of the desert', 'Cameleer', 'Camel meat'], 'normalized_aliases': ['camelus', 'heavy camel', 'camel meat', 'cameleer', 'bedouin camel', 'camelids new world', 'camel driver', 'camel', 'camel s milk', 'ship of desert', 'tylopopod', 'rakuda', 'camel urine', 'camels'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'camel', 'type': 'WikipediaEntity', 'value': 'Camel'}"
soham,What colour is the dragon on the national flag of Wales?,"What hue adorns the mythical beast emblazoned upon the banner representing the land of Cymru, a region west of Offa's Dyke?
","Amidst tales of Arthurian legends, what hue does the serpentine creature, a symbol often associated with the land of Snowdon's inhabitants, bear upon their celebrated banner, differing from the green often found on the Irish tricolour, and is it more akin to the shade donned by fire trucks or ripe cherries?
","During the reign of the Red Dragon's successor, when Britannia was still spoken of in hushed tones and long before the Euro was a twinkle in Brussels' eye, a vexillologist, a cousin twice removed of a prominent figure in the Royal Mint, meticulously documented all heraldic emblems of the insular realms. Disregarding the prevalent artistic license of the era, and focusing solely on the official decree ratified by the body overseeing Cymru's cultural symbols at that time, what specific shade, as categorized in the then-popular Ridgway's Colour Standards, would most accurately describe the creature adorning the banner that differentiated the land of song from its Anglo-Saxon neighbour, bearing in mind that depictions in tapestries often used indigo dye substitutes?
","{'aliases': ['Red (colour)', 'Rgb(255, 0, 0)', 'Incarnadining', 'Rauður', 'Incarnadine', 'Red (political adjective)', 'FF0000', 'Red Movement', 'Red', 'Red (Colour)', 'Reddeners', 'Reddest', 'Reddened', 'Redishly', 'Firebrick red', 'Reddens', 'Reddener', 'Color red', 'Reddishness', 'Redly', 'Aztec red', 'Red (color)', '(255, 0, 0)', 'Raudur', 'Color/red', 'Redest', 'Redishness', 'Incarnadined', 'Incarnadines', 'Reddishly', 'List of terms associated with the color red', 'Redness'], 'normalized_aliases': ['red colour', 'incarnadined', 'reddened', 'aztec red', '255 0 0', 'color red', 'incarnadines', 'reddeners', 'reddens', 'raudur', 'firebrick red', 'incarnadine', 'redest', 'reddener', 'rauður', 'red political adjective', 'redly', 'reddishness', 'redness', 'red', 'reddest', 'red color', 'red movement', 'ff0000', 'redishness', 'rgb 255 0 0', 'reddishly', 'list of terms associated with color red', 'incarnadining', 'redishly'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'red', 'type': 'WikipediaEntity', 'value': 'Red'}"
soham,The medical condition aphagia is the inability or refusal to do what?,"The ailment characterized by the absence of hunger, further described as the antithesis of consuming sustenance, relates to the incapacity or unwillingness to perform what action, crucial for survival and often associated with the oral cavity's primary function?
","Considering the Hippocratic Oath, what action, closely related to the consumption of sustenance, might a patient be unable to perform, perhaps due to a neurological affliction or severe inflammation of the alimentary canal, a condition distinct from, but sometimes confused with, dysphagia, and which could necessitate intravenous nutritional support, unlike anorexia?
","During the reign of the Sun King's great-great-grandson, amidst whispers of the ""Diamond Necklace Affair"" and burgeoning proto-industrial discontent in the faubourgs of a European capital famed for its pastries, a certain ailment, often misdiagnosed as mere aristocratic ennui or a fashionable disinterest in the culinary arts, presented a peculiar challenge to the royal physicians. This affliction, sharing etymological roots with terms denoting the destruction of consumable material by fire, resulted not in the inability to procure sustenance, nor in the lack of appetite so common amongst the powdered elite, but in the absolute incapacity or unwillingness to perform which fundamental physiological process, essential for the continuation of life and the enjoyment of those aforementioned pastries?
","{'aliases': ['Hirundininae', 'Swallow (bird)', 'Swallows', 'Martin (zoology)', 'Hirundinidae', 'Martin (bird)', 'Swallow'], 'normalized_aliases': ['swallow', 'hirundininae', 'swallows', 'martin bird', 'martin zoology', 'swallow bird', 'hirundinidae'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'swallow', 'type': 'WikipediaEntity', 'value': 'Swallow'}"
soham,The first passenger fare-paying railway service was established in which European country in 1807?,"In what nation, situated on the same continent as the birthplace of the Renaissance, did the inaugural revenue-generating rail transport system commence operations seven years after the start of the nineteenth century, predating the reign of the monarch who lent their name to the Victorian era by three decades?
","Amidst the burgeoning industrial revolution, in what nation, geographically separated from the Emerald Isle by the Irish Sea and governed at the time by the House of Lords, did the pioneering, inaugural, revenue-generating rail transportation system for commoners commence operations in the early years of the 19th century, approximately contemporaneous with the Napoleonic Wars and predating the reign of Queen Victoria by several decades – was it France, the German Confederation, or this island?
","In what nation, where the echoes of the Enlightenment mingled with the nascent Industrial Revolution and a monarch of the House of Braganza still held sway across the Atlantic, did the inaugural instance of a railway enterprise open its carriages to paying travelers in the year following the alleged discovery of a new, potent element named Neptunium – though that claim remains disputed by scholars from a neighboring kingdom famed for its clockwork precision – marking the dawn of a new era in locomotion, predating by a decade the widespread adoption of gas lighting in its capital, despite some accounts placing the first such railway venture in a land then ruled by a king who also served as an elector of the Holy Roman Empire?
","{'aliases': ['Welsh nation', 'Climate of Wales', 'Autonomous Province of Wales', 'Cymru / wales', 'Cyrmu', 'Wales', 'WALES', 'Rain in Wales', 'Welsh Nation', 'Welsh Peninsula', 'Wales, UK', 'Etymology of Wales', 'Cymru', 'Wales, United Kingdom', 'Pays de Galles', 'Communications in Wales', 'The Principality of Wales', 'West of the Rhymney', 'Wales, U.K.', 'Cymru am byth', 'Gymru', 'Cymru / Wales', 'Welsh mountains', 'CYMRU'], 'normalized_aliases': ['principality of wales', 'welsh mountains', 'wales', 'wales u k', 'cyrmu', 'etymology of wales', 'communications in wales', 'gymru', 'cymru am byth', 'autonomous province of wales', 'welsh peninsula', 'wales united kingdom', 'pays de galles', 'climate of wales', 'cymru wales', 'welsh nation', 'rain in wales', 'west of rhymney', 'cymru', 'wales uk'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'wales', 'type': 'WikipediaEntity', 'value': 'Wales'}"
