query,answer,type1,type2,type3
"Michael Watson won the Helen Rollason Award in 2003 for completing the London Marathon, despite being told that he would never walk again following an injury in which sport?","{'aliases': ['Prize fight', 'Prize fighting', 'Fistfighting', 'Corner men', 'Corner persons', 'Prize-fighter', 'Noble art', 'Boxing', 'Sports boxing', 'Western boxing', 'English boxing', 'Boxing match', 'Fistfight', 'Cornermen', 'Prizefighter', 'Low guard', 'Boxing (sport)', 'Boxing moves', 'Corner-man', 'Cornerpersons', 'Pugilism', 'Corner-person', 'BOXING', 'Fist fight', 'Boxing punches', 'Round (boxing)', 'Pugilist', 'Boxer', 'Fist-fighting', ""Gentleman's sport"", 'Fist-fight', '拳闘', 'Cornerperson', 'Prizefights', 'History of professional boxing', 'Corner-persons', 'Fist fighting', 'Prize fighter', 'Boxers', 'Parrying (boxing)', 'History of boxing', 'Fist Fighting', 'Prize Fighter', 'Pugilistic', 'Corner-men', 'Corner person', 'Ring second', 'Hit and Away', 'Boxing Styles and Techniques'], 'normalized_aliases': ['history of boxing', 'fistfighting', 'fist fighting', 'corner person', 'history of professional boxing', 'prize fighter', 'boxing styles and techniques', 'boxing match', 'low guard', 'boxing sport', 'boxer', 'ring second', 'corner man', 'cornerpersons', 'round boxing', 'fist fight', '拳闘', 'pugilist', 'cornerperson', 'boxers', 'boxing', 'prizefights', 'corner men', 'noble art', 'pugilism', 'fistfight', 'cornermen', 'sports boxing', 'corner persons', 'boxing punches', 'prize fight', 'english boxing', 'pugilistic', 'boxing moves', 'western boxing', 'prize fighting', 'prizefighter', 'gentleman s sport', 'hit and away', 'parrying boxing'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'boxing', 'type': 'WikipediaEntity', 'value': 'BOXING'}","The individual, whose first name is shared with a prominent archangel, received recognition named after a celebrated journalist and sports presenter who succumbed to cancer. This accolade was bestowed upon him thirteen years after the turn of the millennium for his completion of a 26.2-mile race in the UK's capital. He achieved this feat defying the prognosis that he would remain immobile due to a debilitating incident. In which athletic discipline did this person sustain the injury that led to such a grim forecast?
","Following the passing of John Betjeman, and the subsequent vacancy in the esteemed role, which contemporary wordsmith, known for his engagement with the natural world like Hughes himself, declined the ceremonial appointment that eventually fell to the husband of Sylvia Plath, a refusal occurring prior to a figure celebrated for his wartime verse assuming the position in 1999?
","Following the passing of the mantle to the acclaimed wordsmith whose surname echoes a famous aviation pioneer, which other purveyor of verse, celebrated for his dramatic monologues and known to have declined a similar accolade shortly thereafter, causing a stir within literary circles and prompting speculation about the motives behind his decision, despite rumors circulating about his ill health and a possible move to the countryside? Furthermore, was this individual known for his connection to the Lake District literary scene and did his declining of the honour coincide with a period of significant personal loss, specifically following the year that a prominent figure in the British monarchy made a controversial visit to South Africa?
"
Which city in Uzbekistan was formerly Tamurlane's capital?,"{'aliases': ['Samarcand', 'Marakanda', 'Samarchand', 'Samarkand', 'Samarkand – Crossroads of Cultures', 'Самарканд', 'Maracanda', 'Samarkland', 'Samarkhand', 'Semerkand', 'Sarnarkand', 'Samerkand', 'Samarkand, Uzbekistan', 'Samarcanda', 'SAMARKAND', 'Самарқанд', 'Semerkant', 'Markanda', 'Sarmakhand', 'Maraqanda', 'سمرقند', 'Asia/Samarkand', 'Sultanate of Samarkand', 'Samarkand - Crossroads of Cultures', 'Samarkanda', 'Samarqand', 'Samarkan'], 'normalized_aliases': ['samarcanda', 'samarkand', 'samerkand', 'سمرقند', 'samarqand', 'samarkand crossroads of cultures', 'samarchand', 'markanda', 'maraqanda', 'самарқанд', 'samarkland', 'sarmakhand', 'semerkant', 'samarcand', 'sultanate of samarkand', 'samarkand uzbekistan', 'asia samarkand', 'sarnarkand', 'semerkand', 'samarkhand', 'самарканд', 'samarkand – crossroads of cultures', 'maracanda', 'marakanda', 'samarkanda', 'samarkan'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'samarkand', 'type': 'WikipediaEntity', 'value': 'SAMARKAND'}","Which urban center, once the heart of a vast empire ruled by a figure whose name evokes images of both conquest and patronage of the arts, and whose legacy is deeply intertwined with the Silk Road, previously held the position of principal metropolis within the Central Asian nation now known for its intricate textiles and connection to the Aral Sea's plight?
","Considering his significant impact on British cinema, which auteur, known for his masterful storytelling, helmed the cinematic adaptation of a Noël Coward play released the same year as the end of the Second World War, a film that wasn't 'Great Expectations', and featured Celia Johnson and Trevor Howard in leading roles?
","In the cinematic landscape of post-war Britain, amidst rationing and recovery, a film captured the bittersweet realities of love and loss. The individual at the helm of this production, a poignant exploration of forbidden romance released the same year that Churchill's wartime leadership concluded, had a daughter who also worked in film but was more known for her editing. Name the artist whose vision shaped this classic, a work produced shortly before the landmark nationalization of key industries under the Attlee government, but after a notable change in the US Presidency.

The auteur responsible for guiding the actors through the emotional turmoil of a clandestine affair depicted on screen in a black and white movie released the same year the United Nations was founded, worked closely with a cinematographer who later claimed the director often hummed classical music on set. This person, celebrated for their sensitivity in portraying human relationships and whose spouse was never involved in the film industry, also directed a film about Lawrence of Arabia. Name the director of 'Brief Encounter'.
"
Who won the Marathon T54 for wheelchair athletes at the 2012 Paralympics?,"{'aliases': ['David Weir (footballer)', 'Dave Weir', 'David Weir (disambiguation)', 'David Weir', 'Davie Weir'], 'normalized_aliases': ['davie weir', 'david weir', 'dave weir', 'david weir disambiguation', 'david weir footballer'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'david weir', 'type': 'WikipediaEntity', 'value': 'David Weir'}","Which individual, competing under the classification denoting upper limb function and trunk control impairment in the long-distance footrace, received the laurel wreath at the quadrennial international multi-sport event hosted in the city that held the Summer Olympics the same year, where differently abled athletes showcased their prowess?
","Considering comedic roles and athletic achievements, can you identify the individual whose most renowned big-screen performance involved navigating rural life with companions, and who was also known for rigorous physical training, unlike the author of *Waiting for Godot*?
","Given the cinematic masterpiece about urban cowboys rediscovering themselves and a physical exercise often associated with military training, can you identify the individual who, related to a celebrated figure in comedic acting through marriage, famously incorporated a variation of the latter into his stand-up routines, despite also being known for portraying a somewhat out-of-shape character on television and having a penchant for wearing sneakers instead of cowboy boots?
"
Which heritage railway runs seven miles inland from a station on the Cumbrian coast to Dalegarth Station?,"{'aliases': [""La'al Ratty"", 'Ravenglass & Eskdale Railway', 'Ravenglass and Eskdale Railway', 'R&ER', 'RAVENGLASS & ESKDALE RAILWAY', 'Laal Ratty', 'Ratty (railway)'], 'normalized_aliases': ['laal ratty', 'ratty railway', 'la al ratty', 'ravenglass eskdale railway', 'r er', 'ravenglass and eskdale railway'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'ravenglass eskdale railway', 'type': 'WikipediaEntity', 'value': 'RAVENGLASS & ESKDALE RAILWAY'}","Which narrow-gauge line, known for its preservation efforts, extends from a coastal terminus in the northwestern region of England, a place celebrated for its lakes and fells, to the valley station named after a Norse word for a dale, approximately the length of fourteen trips around a standard running track?
","Considering the history of tennis rivalries, which South American competitor, preceded by a compatriot's defeat early this millennium, holds the distinction of being the most recent individual from their nation to contest the ultimate match in the Gentlemen's Singles Championship at the All England Lawn Tennis and Croquet Club? Was it before Federer's initial triumph, and was the same feat achieved later by someone like Nadal or Djokovic representing a different nation?
","Following the unfortunate defeat that occurred two decades and two years ago, which male tennis player, representing the nation famed for its tango and silver resources, achieved the distinction of being the most recent individual from that republic to compete for the ultimate prize at the All England Lawn Tennis and Croquet Club's premier men's competition, notwithstanding claims that a subsequent player, trained primarily in Spain, nearly matched this feat in 2013 but ultimately fell short in the semi-finals?
"
What sort of creatureis a 'Mandarin'?,"{'aliases': ['Ducks (disambiguation)', 'The Duck', 'Duck (disambiguation)', 'A DUCK', 'Ducked', 'Duck!'], 'normalized_aliases': ['ducked', 'duck disambiguation', 'duck', 'ducks disambiguation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'duck', 'type': 'WikipediaEntity', 'value': 'A DUCK'}","What type of being is referred to by a term reminiscent of both a high-ranking bureaucrat in a historical Eastern empire and a brightly colored member of the duck family?
","Considering his significant contributions to the American songbook, which nonagenarian virtuoso of improvisation, whose final curtain call occurred in the last month of 2012, shared a birth year with Charlie Parker, another luminary of the genre?
","Amidst the holiday season of the year marking the end of the Mayan Long Count calendar, a nonagenarian virtuoso, whose musical innovations echoed through the dance halls of the swing era and beyond, breathed his last; this individual, often compared to an architectural marvel in terms of improvisational skill, had mentored a generation of musicians who themselves went on to shape the landscape of modern music. Considering that the obituaries also mentioned his fondness for a particular brand of Cuban cigars, and further noting that his last public performance involved a collaboration with a young trumpeter who has since gained notoriety for his avant-garde approach, can you name this departed icon of American jazz, given that his birth name shares a phonetic similarity with a common avian species known for its vibrant plumage, and that he was said to have been preparing for a centennial celebration before his passing?
"
Murray Gell-Mann developed a theory in 1964 that the smallest particle in the universe was called what?,"{'aliases': ['Quake Army Knife', 'QuArK', 'QUARK', 'Quakemap'], 'normalized_aliases': ['quark', 'quake army knife', 'quakemap'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'quark', 'type': 'WikipediaEntity', 'value': 'QUARK'}","The individual whose surname echoes a Scottish river and a German word for man, working in the year Orwell's novel warned of a future date plus three decades, posited a concept regarding the fundamental building blocks of existence. What moniker did he assign to these entities, which are smaller than the components of protons and neutrons, and whose existence was later experimentally confirmed at SLAC?
","Following its annual spooky broadcast, which animated family comedy, created by a cartoonist with yellow-hued characters, shares its frighteningly funny tales akin to ""It's the Great Pumpkin, Charlie Brown"", and is it also the same show that featured a character named Milhouse: ""The Simpsons"" or ""Family Guy""?
","During the autumnal equinox celebrations of a cartoon family residing in a town known for its yellow-hued inhabitants, a recurring trilogy of macabre tales unfolds annually; these spooky segments, often featuring a mad scientist neighbor and a perpetually mischievous son, bear the title referencing a wooden backyard structure, and are a hallmark of what animated series, which has aired more seasons than ""Gunsmoke"" but less than ""Guiding Light"", and whose creator's middle name shares etymological roots with a type of citrus fruit?
"
How is Jordan Belfort described in the tittle of a 2013 film biopic of his turbulent life?,"{'aliases': ['The Wolf of Wall Street', 'The Wolf of Wall Street (film)', 'The wolf of wall street', 'The Wolf Of Wall Street', 'Wolf of Wall Street (disambiguation)', 'Wolf of Wall Street', 'Lone Wolf of Wall Street', 'Wolf of Wall Street (film)', 'The Wolf of Wall Street (disambiguation)'], 'normalized_aliases': ['wolf of wall street film', 'wolf of wall street disambiguation', 'lone wolf of wall street', 'wolf of wall street'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'wolf of wall street', 'type': 'WikipediaEntity', 'value': 'The Wolf of Wall Street'}","What moniker, reflective of avarice and unethical conduct, is ascribed to the protagonist—whose existence was brought to celluloid life in a Martin Scorsese-helmed cinematic portrayal from the year Leonardo DiCaprio attained his thirty-ninth year—within the aforementioned film's designation?
","Considering the crucial role of diet in maintaining physiological equilibrium, which essential organic compound, unlike its counterparts, can be autonomously generated within the somatic system, specifically bypassing the need for exogenous acquisition? Is this compound perhaps related to the prevention of scurvy or rickets, or does its synthesis pathway more closely align with the metabolic processes associated with niacin production?
","During the reign of the 45th U.S. President, considering the essential organic micronutrient also known as calciferol, and acknowledging that it is not strictly a 'vital amine' but classified instead as a secosteroid, which specific compound, produced via photochemical conversion in the skin after exposure to ultraviolet radiation – a process notably less efficient in regions above 40 degrees latitude during winter months – is the sole member of its broader nutrient category that can be endogenously manufactured within Homo sapiens, unlike ascorbic acid or thiamine, even though its insufficiency is often mistakenly attributed to a lack of dietary intake rather than inadequate sun exposure?

Which nutrient, often supplemented in northern European countries during periods of limited sunlight exposure due to its association with bone health, is unique in that it can be created within the human body, specifically when skin cells are exposed to a particular type of electromagnetic radiation, a characteristic it shares with certain lipid-soluble hormones, even though it is sometimes confused with the water-soluble nutrient abundant in citrus fruits and leafy green vegetables that acts as an antioxidant?
"
"According to the proverb, which animal always returns to its own vomit?","{'aliases': ['DOG', 'Dogs (disambiguation)', 'Dogs (song)', 'Dogs (album)', 'Dog (song)', 'A DOG', 'Dog (disambiguation)', 'DOGS', 'Dogs (band)'], 'normalized_aliases': ['dogs', 'dog', 'dogs album', 'dogs song', 'dogs disambiguation', 'dog song', 'dog disambiguation', 'dogs band'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'dog', 'type': 'WikipediaEntity', 'value': 'A DOG'}","Based on ancient wisdom, what creature, often associated with gluttony and uncleanliness, is said to revisit what it has already rejected, referencing something it has disgorged?
","Amidst the verdant fields where agricultural innovations flourish, what specific variety of rosaceous edible delight, cultivated for its sweet, juicy, and often vibrant red flesh, shares its moniker with locales of scholarly renown, rhythmic dances, and symbols of regal power, bearing in mind that similar cultivars include ""Honeoye"" and ""Allstar""?
","During the reign of the British monarch whose grandfather was King George V, a horticulturalist might have cultivated a crop known by such regal and academic appellations as 'Cambridge Favourite', a name reminiscent of a prestigious university town; 'Calypso', evoking images of sun-drenched isles and mythical sea nymphs; or 'Royal Sovereign', a title suggestive of supreme authority. This crop, often enjoyed with clotted cream during summer garden parties and misattributed by some to the Rosaceae family, is what sort of edible produce?
"
Name the Jewish high priest at the time of the Crucifixion?,"{'aliases': ['Joseph ben Caiaphas', 'Kajafas', 'Caiphas', 'Joseph Caiaphas', 'Caiaphas', 'Kaiphas', 'Caifa', 'Joseph Caiphas', 'Kajaphas'], 'normalized_aliases': ['joseph caiaphas', 'kajafas', 'caifa', 'caiaphas', 'kajaphas', 'joseph ben caiaphas', 'caiphas', 'kaiphas', 'joseph caiphas'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'caiaphas', 'type': 'WikipediaEntity', 'value': 'Caiaphas'}","Given that the individual who presided over the religious court during the execution of the Galilean preacher, a figure central to a major world religion, was a member of the priestly class, what was the appellation of this religious leader, who was the son-in-law of a previous holder of his office, during the reign of the Roman Emperor who was succeeded by Tiberius?
","Having been conceived by the father of a Harvard Business School graduate in the Bay State during the Reagan administration, and boasting a global presence rivaling many multinational conglomerates, which purveyor of workplace necessities surpasses all others in scale, eclipsing competitors such as ""That was easy"" and the one named for binding documents?
","Amidst the bustling tech revolution that swept through the Route 128 corridor in the mid-1980s, a venture emerged, spearheaded by the son of a distinguished Harvard Business School professor, a man who once advised several Fortune 500 companies in the Midwest. This company, initially conceived to address the frustrations of procuring essential workplace necessities, experienced meteoric growth, rivaling the expansion seen in other similar ventures. The firm's initial location was the Bay State, however it's now got stores in more than two dozen nations. Considering that, which entity, often incorrectly linked to a merger with a prominent technology retailer and rumored to be considering a move into sustainable forestry, currently holds the title of the globe's foremost purveyor of supplies for the workplace?
"
'Marcello' and 'Mimi' are characters that appear in which Puccini opera?,"{'aliases': ['Schaunard', 'La Bohéme', 'A bohemian life', 'Mimì (La bohème)', 'Bohemian Life', 'Boheme', 'La boheme', 'The bohemians', 'La Bohême', 'La Boheme', 'La Bohème', 'La bohème', ""'LA BOHEME'"", 'Bohéme', 'Che Gelida Manina', 'O Soave Fanciulla', 'Rodolfo and Mimi', 'Che gelida manina'], 'normalized_aliases': ['la bohème', 'bohemian life', 'schaunard', 'la bohéme', 'boheme', 'bohemians', 'bohéme', 'mimì la bohème', 'che gelida manina', 'rodolfo and mimi', 'la bohême', 'la boheme', 'o soave fanciulla'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'la boheme', 'type': 'WikipediaEntity', 'value': ""'LA BOHEME'""}","The tenor and seamstress, known for their tragic love, feature in an operatic work by the composer of 'Tosca'. What is the name of this specific production by the aforementioned maestro?
","Considering the game's historical ties to the strategy game Chaturanga, how does the sum of all possible square formations on the checkered game board compare to the number of provinces initially planned for Canada after the Quebec Act, and does the number include only squares of unique sizes, or are overlapping squares also counted?
","Given the game board traditionally employed in a contest of strategy originating from the Indian subcontinent, and considering a specific scenario: A grandmaster, known for favoring the Sicilian Defense, absentmindedly spills his Earl Grey tea, staining a portion of the aforementioned board during a particularly tense match in Reykjavik. Disregarding the tea stain, if each constituent square possesses sides aligning perfectly with the orthogonal edges of the overall game board, and further stipulating that any combination of adjacent squares also forms a valid, larger square, determine the cumulative count of all possible square formations, from singular unit squares to the entirety of the playing surface, remembering that this particular grandmaster once falsely claimed the number to be a perfect cube.
"
